Nodes,Edges,Graph Type,MST Weight,Prim Time (s),Kruskal Time (s)
44,211,tree + 10% edges,217.5,0.002743959426879883,0.001535654067993164
44,342,tree + 20% edges,207.5,0.0035851001739501953,0.0030477046966552734
44,436,tree + 30% edges,192.5,0.0023458003997802734,0.002125263214111328
44,543,tree + 40% edges,149.5,0.0020952224731445312,0.0035161972045898438
44,621,tree + 50% edges,137.5,0.003257274627685547,0.0023641586303710938
44,686,tree + 60% edges,142.0,0.003131389617919922,0.003655672073364258
44,721,tree + 70% edges,132.0,0.0032949447631835938,0.0024919509887695312
44,757,tree + 80% edges,120.0,0.0020952224731445312,0.002600431442260742
44,805,tree + 90% edges,127.0,0.003487825393676758,0.004034280776977539
61,1830,complete,532,0.005263090133666992,0.016686439514160156
61,60,tree,532,0.005845785140991211,0.004706859588623047
61,381,tree + 10% edges,210.5,0.002752065658569336,0.0018973350524902344
61,651,tree + 20% edges,197.5,0.006700277328491211,0.0027649402618408203
61,849,tree + 30% edges,177.5,0.004978656768798828,0.005233287811279297
61,1055,tree + 40% edges,143.5,0.00390625,0.0036096572875976562
61,1159,tree + 50% edges,141.5,0.00662994384765625,0.004230976104736328
61,1300,tree + 60% edges,130.5,0.004268646240234375,0.0065424442291259766
61,1403,tree + 70% edges,114.5,0.0035772323608398438,0.005567789077758789
61,1458,tree + 80% edges,141.0,0.0080718994140625,0.016048669815063477
61,1540,tree + 90% edges,117.5,0.01274561882019043,0.016020536422729492
79,3081,complete,634,0.011747598648071289,0.02985215187072754
79,78,tree,634,0.01038217544555664,0.011766672134399414
79,609,tree + 10% edges,307.5,0.006632804870605469,0.005790233612060547
79,1078,tree + 20% edges,250.0,0.0070705413818359375,0.008562088012695312
79,1429,tree + 30% edges,156.5,0.008085250854492188,0.010506153106689453
79,1717,tree + 40% edges,151.0,0.012058258056640625,0.006717205047607422
79,1987,tree + 50% edges,180.0,0.009006738662719727,0.009393692016601562
79,2186,tree + 60% edges,127.0,0.006821155548095703,0.011536598205566406
79,2352,tree + 70% edges,147.5,0.01153874397277832,0.011828184127807617
79,2476,tree + 80% edges,184.0,0.008672952651977539,0.011930465698242188
79,2582,tree + 90% edges,144.5,0.006640911102294922,0.012724161148071289
99,4851,complete,691,0.01786494255065918,0.02985358238220215
99,98,tree,691,0.012609243392944336,0.012902021408081055
99,953,tree + 10% edges,278.0,0.013647317886352539,0.00793910026550293
99,1693,tree + 20% edges,235.5,0.01205754280090332,0.008194208145141602
99,2241,tree + 30% edges,176.5,0.022510290145874023,0.01578521728515625
99,2695,tree + 40% edges,171.0,0.01581883430480957,0.015524625778198242
99,3135,tree + 50% edges,144.5,0.01647472381591797,0.015767335891723633
99,3386,tree + 60% edges,147.5,0.013105630874633789,0.017147541046142578
99,3710,tree + 70% edges,132.0,0.012731552124023438,0.019753694534301758
99,3853,tree + 80% edges,137.5,0.015106439590454102,0.016435623168945312
99,4025,tree + 90% edges,137.0,0.015786170959472656,0.06553268432617188
61,1830,complete,593,0.006336212158203125,0.013959169387817383
61,60,tree,593,0.0055277347564697266,0.006375551223754883
61,383,tree + 10% edges,282.5,0.0032808780670166016,0.003201723098754883
61,631,tree + 20% edges,210.0,0.004810810089111328,0.002543210983276367
